order_id,order_code,product_id,currency_code,order_quantity,unit_price,total_unit_price
1,ORDER1,12,USD,5,1963.1,9815.5
2,ORDER2,13,USD,5,3939.6,19698
3,ORDER3,5,USD,10,1775.5,17755
4,ORDER4,11,USD,6,2324.9,13949.4
5,ORDER5,7,USD,6,1822.4,10934.4
6,ORDER6,13,USD,6,1038.5,6231
7,ORDER7,12,USD,10,1192.6,11926
8,ORDER8,7,USD,10,1815.7,18157
9,ORDER9,2,USD,7,3879.3,27155.1
10,ORDER10,7,USD,6,1956.4,11738.4
11,ORDER11,6,USD,12,201,2412
12,ORDER12,11,USD,8,6277.9,50223.2
13,ORDER13,5,USD,7,1051.9,7363.3
14,ORDER14,12,USD,9,254.6,2291.4
15,ORDER15,3,USD,5,3932.9,19664.5
16,ORDER16,9,USD,10,1112.2,11122
17,ORDER17,15,USD,12,1239.5,14874
18,ORDER18,4,USD,12,984.9,11818.8
19,ORDER19,15,USD,5,5581.1,27905.5
20,ORDER20,2,USD,8,3095.4,24763.2
21,ORDER21,15,USD,8,2278,18224
22,ORDER22,10,USD,12,991.6,11899.2
23,ORDER23,9,USD,6,3979.8,23878.8
24,ORDER24,14,USD,12,1969.8,23637.6
25,ORDER25,9,USD,12,268,3216
26,ORDER26,4,USD,11,174.2,1916.2
27,ORDER27,13,USD,6,2988.2,17929.2
28,ORDER28,2,USD,11,3999.9,43998.9
29,ORDER29,7,USD,10,5976.4,59764
30,ORDER30,12,USD,6,2901.1,17406.6
31,ORDER31,4,USD,7,6076.9,42538.3
32,ORDER32,6,USD,6,5735.2,34411.2
33,ORDER33,6,USD,12,3919.5,47034
34,ORDER34,8,USD,8,6083.6,48668.8
35,ORDER35,5,USD,5,2566.1,12830.5
36,ORDER36,9,USD,10,2278,22780
37,ORDER37,4,USD,7,261.3,1829.1
38,ORDER38,2,USD,9,998.3,8984.7
39,ORDER39,14,USD,6,3497.4,20984.4
40,ORDER40,2,USD,9,1132.3,10190.7
41,ORDER41,10,USD,9,2405.3,21647.7
42,ORDER42,14,USD,7,5701.7,39911.9
43,ORDER43,4,USD,9,2452.2,22069.8
44,ORDER44,15,USD,7,3095.4,21667.8
45,ORDER45,13,USD,9,3865.9,34793.1
46,ORDER46,7,USD,7,2304.8,16133.6
47,ORDER47,8,USD,10,3195.9,31959
48,ORDER48,12,USD,10,6452.1,64521
49,ORDER49,13,USD,6,2003.3,12019.8
50,ORDER50,6,USD,5,3638.1,18190.5
51,ORDER51,3,USD,6,2278,13668
52,ORDER52,5,USD,12,924.6,11095.2
53,ORDER53,7,USD,11,3926.2,43188.2
54,ORDER54,3,USD,7,3825.7,26779.9
55,ORDER55,10,USD,10,2257.9,22579
56,ORDER56,2,USD,7,1112.2,7785.4
57,ORDER57,4,USD,5,3557.7,17788.5
58,ORDER58,11,USD,7,2371.8,16602.6
59,ORDER59,8,USD,12,857.6,10291.2
60,ORDER60,3,USD,11,3892.7,42819.7
61,ORDER61,15,USD,8,3477.3,27818.4
62,ORDER62,8,USD,6,3738.6,22431.6
63,ORDER63,1,USD,8,1072,8576
64,ORDER64,7,USD,12,2257.9,27094.8
65,ORDER65,5,USD,5,1058.6,5293
66,ORDER66,12,USD,10,2492.4,24924
67,ORDER67,14,USD,6,3852.5,23115
68,ORDER68,13,USD,11,241.2,2653.2
69,ORDER69,3,USD,5,1051.9,5259.5
70,ORDER70,2,USD,8,227.8,1822.4
71,ORDER71,1,USD,9,1078.7,9708.3
72,ORDER72,3,USD,6,1005,6030
73,ORDER73,6,USD,6,2485.7,14914.2
74,ORDER74,3,USD,10,2659.9,26599
75,ORDER75,15,USD,11,2224.4,24468.4
76,ORDER76,14,USD,8,2472.3,19778.4
77,ORDER77,9,USD,7,1011.7,7081.9
78,ORDER78,11,USD,6,234.5,1407
79,ORDER79,3,USD,8,261.3,2090.4
80,ORDER80,4,USD,5,4006.6,20033
81,ORDER81,1,USD,6,1333.3,7999.8
82,ORDER82,13,USD,5,167.5,837.5
83,ORDER83,12,USD,5,3195.9,15979.5
84,ORDER84,12,USD,10,1051.9,10519
85,ORDER85,5,USD,9,5447.1,49023.9
86,ORDER86,7,USD,8,3182.5,25460
87,ORDER87,9,USD,5,891.1,4455.5
88,ORDER88,13,USD,7,3892.7,27248.9
89,ORDER89,9,USD,9,3953,35577
90,ORDER90,4,USD,9,924.6,8321.4
91,ORDER91,4,USD,10,3430.4,34304
92,ORDER92,6,USD,8,1152.4,9219.2
93,ORDER93,9,USD,5,1085.4,5427
94,ORDER94,6,USD,5,5031.7,25158.5
95,ORDER95,8,USD,8,1092.1,8736.8
96,ORDER96,7,USD,9,187.6,1688.4
97,ORDER97,9,USD,9,3993.2,35938.8
98,ORDER98,1,USD,11,2472.3,27195.3
99,ORDER99,9,USD,11,1206,13266
100,ORDER100,4,USD,11,1728.6,19014.6
101,ORDER101,15,USD,6,1983.2,11899.2
102,ORDER102,14,USD,7,5313.1,37191.7
103,ORDER103,15,USD,11,871,9581
104,ORDER104,13,USD,6,2532.6,15195.6
105,ORDER105,7,USD,8,5916.1,47328.8
106,ORDER106,13,USD,7,2887.7,20213.9
107,ORDER107,15,USD,7,1855.9,12991.3
108,ORDER108,4,USD,6,207.7,1246.2
109,ORDER109,3,USD,6,1058.6,6351.6
110,ORDER110,11,USD,10,958.1,9581
111,ORDER111,1,USD,9,2659.9,23939.1
112,ORDER112,6,USD,12,2217.7,26612.4
113,ORDER113,11,USD,7,1715.2,12006.4
114,ORDER114,2,USD,6,3932.9,23597.4
115,ORDER115,2,USD,5,2546,12730
116,ORDER116,5,USD,5,837.5,4187.5
117,ORDER117,6,USD,10,1809,18090
