order_id,order_code,status,customer_id,channel,currency_code,warehouse_code,city_shipping_id,total_product_order_quantity,total_price,total_cost
1,ORDER1,COMPLETED,59,Distributor,USD,NXH382,47,5,9815.5,1001.181
2,ORDER2,COMPLETED,33,Wholesale,USD,GUT930,36,5,19698,3348.66
3,ORDER3,COMPLETED,8,Export,USD,GUT930,39,10,17755,781.22
4,ORDER4,COMPLETED,76,Export,USD,AXW291,20,6,13949.4,1464.687
5,ORDER5,COMPLETED,143,Wholesale,USD,AXW291,20,6,10934.4,1476.144
6,ORDER6,COMPLETED,124,Wholesale,USD,NXH382,52,6,6231,446.555
7,ORDER7,COMPLETED,151,Distributor,USD,AXW291,1,10,11926,536.67
8,ORDER8,COMPLETED,20,Distributor,USD,NXH382,51,10,18157,1525.188
9,ORDER9,COMPLETED,121,Wholesale,USD,NXH382,54,7,27155.1,2211.201
10,ORDER10,COMPLETED,110,Wholesale,USD,NXH382,47,6,11738.4,1212.968
11,ORDER11,COMPLETED,130,Export,USD,AXW291,3,12,2412,124.62
12,ORDER12,COMPLETED,144,Distributor,USD,AXW291,28,8,50223.2,2762.276
13,ORDER13,COMPLETED,130,Export,USD,NXH382,57,7,7363.3,641.659
14,ORDER14,COMPLETED,27,Export,USD,NXH382,53,9,2291.4,216.41
15,ORDER15,COMPLETED,63,Distributor,USD,AXW291,25,5,19664.5,3146.32
16,ORDER16,COMPLETED,110,Wholesale,USD,FLR025,64,10,11122,700.686
17,ORDER17,COMPLETED,110,Wholesale,USD,NXH382,58,12,14874,904.835
18,ORDER18,COMPLETED,156,Export,USD,AXW291,4,12,11818.8,393.96
19,ORDER19,COMPLETED,41,Distributor,USD,FLR025,63,5,27905.5,4130.014
20,ORDER20,COMPLETED,4,Wholesale,USD,AXW291,25,8,24763.2,1795.332
21,ORDER21,COMPLETED,112,Export,USD,GUT930,35,8,18224,1754.06
22,ORDER22,COMPLETED,90,Export,USD,NXH382,51,12,11899.2,654.456
23,ORDER23,COMPLETED,109,Distributor,USD,AXW291,4,6,23878.8,3064.446
24,ORDER24,COMPLETED,52,Wholesale,USD,GUT930,40,12,23637.6,866.712
25,ORDER25,COMPLETED,127,Wholesale,USD,GUT930,31,12,3216,131.32
26,ORDER26,COMPLETED,133,Wholesale,USD,AXW291,20,11,1916.2,95.81
27,ORDER27,COMPLETED,116,Distributor,USD,GUT930,42,6,17929.2,2510.088
28,ORDER28,COMPLETED,20,Wholesale,USD,GUT930,43,11,43998.9,2679.933
29,ORDER29,COMPLETED,130,Distributor,USD,AXW291,18,10,59764,2450.324
30,ORDER30,COMPLETED,103,Wholesale,USD,AXW291,19,6,17406.6,2378.902
31,ORDER31,COMPLETED,133,Distributor,USD,NXH382,55,7,42538.3,2734.605
32,ORDER32,COMPLETED,51,Distributor,USD,NXH382,55,6,34411.2,4186.696
33,ORDER33,COMPLETED,175,Export,USD,GUT930,39,12,47034,2077.335
34,ORDER34,COMPLETED,117,Distributor,USD,FLR025,66,8,48668.8,3832.668
35,ORDER35,COMPLETED,42,Wholesale,USD,FLR025,61,5,12830.5,1642.304
36,ORDER36,COMPLETED,166,Wholesale,USD,AXW291,15,10,22780,1093.44
37,ORDER37,COMPLETED,173,Wholesale,USD,GUT930,46,7,1829.1,120.198
38,ORDER38,COMPLETED,11,Wholesale,USD,FLR025,65,9,8984.7,698.81
39,ORDER39,COMPLETED,39,Wholesale,USD,AXW291,17,6,20984.4,1958.544
40,ORDER40,COMPLETED,137,Wholesale,USD,GUT930,36,9,10190.7,486.889
41,ORDER41,COMPLETED,75,Wholesale,USD,AXW291,8,9,21647.7,1587.498
42,ORDER42,COMPLETED,33,Distributor,USD,FLR025,66,7,39911.9,3249.969
43,ORDER43,COMPLETED,134,Distributor,USD,GUT930,45,9,22069.8,1446.798
44,ORDER44,COMPLETED,115,Wholesale,USD,AXW291,2,7,21667.8,2012.01
45,ORDER45,COMPLETED,90,Export,USD,GUT930,38,9,34793.1,2164.904
46,ORDER46,COMPLETED,2,Distributor,USD,AXW291,7,7,16133.6,1382.88
47,ORDER47,COMPLETED,47,Distributor,USD,AXW291,7,10,31959,1470.114
48,ORDER48,COMPLETED,80,Wholesale,USD,NXH382,53,10,64521,5161.68
49,ORDER49,COMPLETED,78,Export,USD,AXW291,19,6,12019.8,921.518
50,ORDER50,COMPLETED,91,Wholesale,USD,AXW291,4,5,18190.5,1455.24
51,ORDER51,COMPLETED,19,Export,USD,AXW291,20,6,13668,1822.4
52,ORDER52,COMPLETED,21,Distributor,USD,AXW291,26,12,11095.2,582.498
53,ORDER53,COMPLETED,31,Wholesale,USD,AXW291,20,11,43188.2,3062.436
54,ORDER54,COMPLETED,70,Export,USD,FLR025,63,7,26779.9,2257.163
55,ORDER55,COMPLETED,89,Wholesale,USD,FLR025,65,10,22579,1377.319
56,ORDER56,COMPLETED,3,Wholesale,USD,AXW291,27,7,7785.4,756.296
57,ORDER57,COMPLETED,76,Wholesale,USD,AXW291,19,5,17788.5,1814.427
58,ORDER58,COMPLETED,3,Distributor,USD,AXW291,11,7,16602.6,1233.336
59,ORDER59,COMPLETED,125,Wholesale,USD,AXW291,11,12,10291.2,686.08
60,ORDER60,COMPLETED,86,Wholesale,USD,GUT930,43,11,42819.7,2880.598
61,ORDER61,COMPLETED,1,Distributor,USD,AXW291,28,8,27818.4,1390.92
62,ORDER62,COMPLETED,104,Distributor,USD,AXW291,28,6,22431.6,2803.95
63,ORDER63,COMPLETED,63,Wholesale,USD,NXH382,48,8,8576,589.6
64,ORDER64,COMPLETED,121,Wholesale,USD,AXW291,22,12,27094.8,1761.162
